listing_id,availability_30,availability_90
12147973,0,0
3075044,26,84
6976,19,61
1436513,6,26
7651065,13,59
12386020,5,58
5706985,22,69
2843445,30,90
753446,12,72
849408,20,80
12023024,16,68
1668313,6,66
2684840,0,0
13547301,8,39
5434353,11,44
225979,4,64
3420384,20,80
13512930,0,0
7482195,0,20
7252607,0,0
2583074,6,57
13251243,0,32
225834,0,24
6400432,0,0
5498472,0,0
894539,0,0
879929,0,0
9218312,8,37
321328,21,81
1810172,0,35
6513924,0,0
7093109,21,78
14690527,0,3
7086825,0,50
1861070,27,87
4283698,7,25
10116095,19,76
8548176,26,81
4922204,18,68
4085362,26,86
3755609,4,64
13768853,0,0
1936861,20,80
4461111,6,6
1724900,4,38
13937181,2,53
3968797,0,0
1494726,20,80
8473851,11,71
3575220,0,0
1591827,0,0
3229255,8,46
1721016,19,73
12535687,17,58
12994227,6,10
12927298,16,64
169938,17,54
594693,3,53
2384581,30,90
735970,0,0
4262255,0,26
4000384,7,47
6693305,0,0
6730758,1,3
6248970,7,43
12806707,5,65
14246616,0,0
3703674,0,0
4792901,0,0
5717528,11,71
5601743,8,62
13333862,0,0
519272,0,0
14090779,0,15
8481291,0,0
6990904,0,0
197727,0,31
932853,4,62
11159585,30,90
9677354,28,88
13426831,0,0
7956634,0,0
568234,13,60
1030500,3,41
13652374,0,0
12930651,0,0
3997572,30,90
4223387,28,83
12855396,6,66
12426823,0,0
14361322,0,34
2963419,0,4
5904732,14,58
3591359,0,14
2538536,0,58
4975581,9,50
4767023,0,0
6364042,7,56
7986179,0,0
14109003,0,0
1109224,8,65
1067184,21,81
13215952,0,0
777903,26,86
1301500,5,65
8923817,0,1
14057466,1,44
14909417,13,73
5521378,29,74
13041602,2,2
2621242,0,0
950046,0,0
3342094,0,10
5652147,30,90
14105971,2,23
2875267,4,30
9485607,0,15
7273770,0,0
5405928,15,65
4586681,18,64
1113272,18,46
12647606,9,59
10271867,0,0
7879708,30,90
3881993,29,89
12566065,0,29
6602217,0,30
3276286,5,46
2014651,23,83
6053700,30,78
4405982,9,43
250983,0,0
2308630,0,0
8272350,0,0
12368012,14,69
4098410,28,88
6322283,28,88
7823025,11,59
9549850,0,5
7845607,0,0
14071446,0,0
14218904,0,0
11826815,0,0
13334098,0,0
4765070,5,29
2880944,0,0
9532771,0,0
10253591,26,86
1881298,0,4
210097,2,9
6059968,5,63
6862758,0,0
799701,0,0
6862594,0,0
9057435,14,55
750438,0,54
12874603,0,0
12727401,0,0
2077794,0,18
9712731,0,0
13677640,0,0
3371091,30,90
13512551,0,35
732999,13,17
6106955,0,0
2698996,14,62
27611,18,73
4025194,22,69
8336364,0,0
12071820,30,57
7910223,8,61
4567815,0,5
12022134,0,6
13513012,9,9
3730447,0,0
4149974,8,47
14933380,25,81
6238463,12,35
1929406,0,4
4583526,9,53
7287822,6,39
8354938,6,53
5025015,7,45
4452800,30,90
7554801,2,21
9349646,0,0
6386351,0,0
5124772,0,4
3977877,0,0
1754939,1,12
6602167,5,34
3987926,16,69
5729845,11,71
9727523,5,53
12463555,0,0
9137560,0,0
3616081,13,59
8908145,29,89
554720,7,41
1551467,0,0
7743569,0,15
732932,13,27
749247,16,74
667325,0,24
9349614,0,0
10627514,0,0
1885825,6,34
9906565,1,23
629814,14,64
1222327,0,0
10299047,11,63
9463444,0,0
6465075,14,43
8932377,0,0
9577988,0,0
9971054,7,41
7348110,29,89
7790454,0,0
3021446,5,35
7708436,11,41
11514237,14,64
13363171,0,0
11946029,0,34
6019555,5,20
12052288,0,30
9676551,3,39
12789527,10,70
12855005,0,0
1631942,0,6
2884903,0,0
14868157,23,83
13344433,14,39
40601,0,0
12033661,0,0
6298216,0,0
12868343,0,0
14474750,0,42
6921672,0,0
2219399,22,73
336960,14,65
336946,11,44
6644330,5,63
6939162,0,0
13640138,0,0
12593295,2,36
10004575,0,0
12855343,5,46
9791506,0,4
5801643,20,77
12888054,11,66
5676025,0,6
6104388,0,6
8283433,10,66
14573919,19,74
7495866,0,29
13623390,0,4
3629014,13,51
10883063,6,39
713627,0,0
4105704,4,36
3957602,4,39
11739985,7,66
5874408,0,41
7693009,14,68
3775876,29,89
3693850,5,36
4736217,30,90
14428514,23,83
3021862,14,63
4348422,0,0
973840,0,4
9575439,0,0
4430821,0,0
9591772,0,0
3079305,0,7
14474114,29,89
7789429,6,63
1203014,0,30
957224,9,54
4119345,3,51
5495547,0,23
12081834,6,59
14260905,29,89
3988018,12,60
728238,15,75
12997241,0,0
10074653,6,27
4054079,3,9
12849003,3,10
8067585,0,50
7723492,0,4
1956275,7,49
1136972,17,66
1071235,8,28
4233242,11,38
14415125,15,75
3905508,4,41
1628130,0,0
14566386,0,15
9590679,0,29
14469677,3,49
447826,3,35
12736777,0,0
9459945,0,30
13621476,0,0
2365632,8,58
10163454,0,0
14308511,9,69
13751426,4,24
1692573,7,48
12932001,24,84
5182313,12,72
13865867,15,60
4331214,0,41
12824498,0,0
14602997,1,42
6377998,9,54
743211,17,66
5166870,9,52
3593290,5,65
14672735,25,72
1612842,25,85
332225,3,4
496022,0,1
8720718,0,12
9212213,0,0
8310894,0,0
1167221,5,47
2592416,0,1
1701741,30,90
4526315,10,40
5918944,0,4
5738018,0,0
4181530,0,0
6065674,13,46
13698137,0,0
12209652,30,90
5049582,0,30
12209339,30,90
8981656,5,57
13110347,1,42
9833460,6,31
8801250,6,66
11553697,0,0
13110084,18,68
14682931,18,77
6425318,0,13
2378421,7,56
2443944,0,0
14683493,5,36
12949270,0,0
12781774,2,19
8226982,0,0
5212321,0,0
4339392,0,0
12191871,5,29
12190053,0,0
6764572,2,36
8521792,7,31
4065322,2,55
12209147,30,90
14501824,1,1
12274601,6,66
4457943,0,27
9865550,0,0
4838985,0,0
197972,7,51
10749312,0,10
1115394,2,34
5702292,7,45
4015972,7,59
2295530,3,29
5882411,0,6
6914622,0,0
13697486,0,0
14254537,6,62
13041752,2,2
4538423,0,10
1885386,5,37
115936,2,52
8275122,0,0
2798787,0,13
9110588,0,0
2950175,0,0
5293067,1,56
13829133,0,7
14161407,0,0
11912139,2,15
2933661,30,90
1803138,4,54
11397952,0,0
50032,17,54
6390634,0,8
6291807,0,0
1949996,1,2
8634599,24,84
11370704,0,0
1704090,0,45
1187188,29,89
903598,29,89
9903,29,89
14444280,27,87
12379725,0,29
7225376,0,0
5660081,0,0
13968660,0,5
1426711,2,25
5510597,0,29
12849985,0,0
12320063,0,0
4823089,0,0
7871576,0,0
5904992,0,0
5222368,4,33
66288,2,11
11313921,0,0
6629929,13,63
12074204,2,2
4160585,15,65
13391024,6,37
195515,29,89
13565466,0,0
130552,29,89
5832127,0,0
9710999,0,0
12517081,0,0
13531200,1,36
11861063,1,17
12089399,29,89
5453775,0,11
12497846,0,0
14137262,8,30
5526487,10,51
14398508,2,31
1373520,5,55
6387077,0,0
13037372,18,78
1471308,6,33
13521713,15,44
848152,5,57
7008455,3,55
11006149,0,0
12102482,29,89
6744795,29,89
3659917,0,0
14854671,19,23
1092093,0,33
10051003,0,0
11219568,0,29
1471373,4,35
13888974,29,89
9428208,0,0
13233250,3,52
9710673,0,0
8973362,0,0
10153739,30,90
2754149,0,8
12707324,0,0
14442333,19,68
9824155,17,76
13624971,0,0
9626892,1,42
7562235,0,0
10478553,0,0
14854164,11,15
14196983,23,83
6611126,0,0
5267396,11,64
8184662,29,89
12264207,0,0
14685769,1,50
14867747,5,65
13081347,0,0
6118583,4,60
6990023,0,30
14670311,2,48
10328539,3,32
14668008,0,0
10131503,29,89
7280665,0,0
10153536,30,90
12359031,29,89
13000520,8,30
7050397,0,0
4687499,0,0
4625517,0,0
5412487,0,0
13062783,0,0
7868931,29,89
8442314,0,0
12357955,29,89
12750816,0,0
8015793,0,0
9998187,30,90
14336348,0,23
4493030,0,0
13525610,4,64
14339562,1,30
14110186,0,48
4787213,0,0
13658697,0,0
8539551,0,0
9407895,0,0
13651290,1,29
3198169,0,19
10537553,0,0
7113260,2,37
13060366,30,90
14092430,0,0
6834270,0,33
7379913,0,0
4523594,0,0
543188,29,89
4409653,30,35
12667158,0,0
8337048,0,4
8390386,0,2
13028092,0,0
12608363,0,0
5967936,0,0
6684904,30,35
6676364,0,2
