id,name,property_id,host_id,neighborhood_id,zipcode,accommodates,bedrooms,minimum_nights,price,availability_30,availability_90
12147973,Sunny Bungalow in the City,1,31303940,1,02131,4,2.0,2,$250.00,0,0
3075044,Charming room in pet friendly apt,2,2572247,1,02131,2,1.0,2,$65.00,26,84
6976,Mexican Folk Art Haven in Boston,2,16701,1,02131,2,1.0,3,$65.00,19,61
1436513,Spacious Sunny Bedroom Suite in Historic Home,1,6031442,1,Unknown,4,1.0,1,$75.00,6,26
7651065,Come Home to Boston,1,15396970,1,02131,2,1.0,2,$79.00,13,59
12386020,Private Bedroom + Great Coffee,3,64200298,1,02131,2,1.0,2,$75.00,5,58
5706985,New Lrg Studio apt 15 min to Boston,2,6570877,1,02131,3,1.0,1,$100.00,22,69
2843445,"""Tranquility"" on ""Top of the Hill""",1,3164508,1,02131,2,1.0,1,$75.00,30,90
753446,6 miles away from downtown Boston!,3,3962517,1,02131,2,1.0,2,$58.00,12,72
849408,Perfect & Practical Boston Rental,2,4434391,1,02131,5,2.0,4,$229.00,20,80
12023024,Cozy room in a well located house,1,64331842,1,02131,2,1.0,1,$60.00,16,68
1668313,Room in Rozzie-Twin Bed-Full Bath,1,8834105,1,02131,1,1.0,1,$57.00,6,66
2684840,"Updated, spacious living in Rozzie",3,13743098,1,02131,4,2.0,1,$93.00,0,0
13547301,2 Bedroom Apartment in Boston,2,57402911,1,02131,5,2.0,2,$150.00,8,39
5434353,Quiet  Beauty in Boston,1,9658771,1,02131,2,2.0,3,$145.00,11,44
225979,Cozy Room & Fresh Roasted Coffee,2,1176995,1,02131,1,1.0,1,$60.00,4,64
3420384,"Convient, Safe and Comfortable",1,431385,1,02131,4,1.0,3,$165.00,20,80
13512930,Roslindale Beauty next to Arboretum,3,13743098,1,02131,2,1.0,1,$75.00,0,0
7482195,Private room near bus stop,1,34552909,1,02131,1,1.0,5,$49.00,0,20
7252607,Private Room near Public Transport,1,34552909,1,02131,2,1.0,5,$49.00,0,0
2583074,Cozy room in a charming villa.,4,13226301,1,02131,1,1.0,2,$40.00,6,57
13251243,Arborside Guest Cottage,1,74531248,1,02131,3,0.0,2,$120.00,0,32
225834,Skyline View to Boston,2,1176995,1,02131,2,1.0,1,$70.00,0,24
6400432,Spacious 3 bedroom cape cod style,1,23127285,1,02131,8,3.0,3,$150.00,0,0
5498472,"4BD/3.5BA, Perfect for families!",1,28518068,1,02131,5,4.0,14,$175.00,0,0
894539,Private room in house ,1,4762495,1,02131,2,1.0,1,$95.00,0,0
879929,Surround yourself with custom art!,2,4653380,1,02131,2,1.0,1,$90.00,0,0
