listing_id,number_of_reviews,review_scores_rating,reviews_per_month
12147973,0,94.0,
3075044,36,94.0,1.3
6976,41,98.0,0.47
1436513,1,100.0,1.0
7651065,29,99.0,2.25
12386020,8,100.0,1.7
5706985,57,90.0,4.0
2843445,67,96.0,2.38
753446,65,96.0,5.36
849408,33,94.0,1.01
12023024,1,80.0,0.36
1668313,17,94.0,0.48
2684840,1,100.0,0.64
13547301,12,97.0,4.93
5434353,7,91.0,0.56
225979,70,96.0,1.16
3420384,1,100.0,1.0
13512930,1,100.0,0.37
7482195,0,94.0,
7252607,4,95.0,0.29
2583074,31,99.0,1.24
13251243,16,98.0,5.93
225834,38,98.0,0.63
6400432,21,88.0,1.58
5498472,1,100.0,0.07
894539,40,96.0,1.13
879929,43,95.0,1.06
9218312,33,99.0,4.02
321328,11,90.0,0.21
1810172,20,96.0,0.58
6513924,30,92.0,1.93
7093109,2,100.0,0.38
14690527,0,94.0,
7086825,10,98.0,0.72
1861070,17,96.0,0.59
4283698,55,87.0,2.36
10116095,0,94.0,
8548176,24,91.0,2.07
4922204,82,95.0,4.32
4085362,20,97.0,0.87
3755609,21,95.0,0.87
13768853,10,96.0,5.77
1936861,143,98.0,4.39
4461111,2,100.0,0.54
1724900,26,92.0,0.74
13937181,5,96.0,3.13
3968797,29,97.0,1.67
1494726,9,93.0,0.37
8473851,14,99.0,1.23
3575220,8,97.0,0.33
1591827,117,92.0,3.22
3229255,53,99.0,2.07
1721016,3,100.0,0.12
12535687,0,94.0,
12994227,0,94.0,
12927298,2,80.0,1.15
169938,1,94.0,1.0
594693,23,93.0,0.46
2384581,14,93.0,0.46
735970,3,100.0,0.06
4262255,57,99.0,2.48
4000384,58,97.0,2.36
6693305,1,100.0,0.07
6730758,46,97.0,3.03
6248970,68,96.0,4.29
12806707,0,94.0,
14246616,3,73.0,2.73
3703674,4,100.0,0.62
4792901,2,90.0,0.16
5717528,7,94.0,0.48
5601743,18,82.0,1.46
13333862,0,94.0,
519272,9,98.0,0.31
14090779,0,94.0,
8481291,4,100.0,0.36
6990904,19,99.0,1.35
197727,22,99.0,0.36
932853,17,96.0,0.41
11159585,1,100.0,0.21
9677354,7,93.0,1.35
13426831,0,94.0,
7956634,7,97.0,0.78
568234,132,97.0,2.61
1030500,14,88.0,0.35
13652374,0,94.0,
12930651,12,98.0,3.91
3997572,3,100.0,0.12
4223387,43,91.0,1.83
12855396,1,20.0,0.44
12426823,0,94.0,
14361322,0,94.0,
2963419,20,98.0,0.71
5904732,9,93.0,0.53
3591359,26,95.0,1.43
2538536,17,95.0,0.59
4975581,47,94.0,2.57
4767023,9,87.0,0.7
6364042,17,92.0,1.32
7986179,5,92.0,1.5
14109003,0,94.0,
1109224,35,91.0,0.95
1067184,53,95.0,1.32
13215952,0,94.0,
777903,17,94.0,0.43
1301500,13,100.0,1.17
8923817,9,93.0,0.85
14057466,2,90.0,1.67
14909417,0,94.0,
5521378,6,97.0,0.41
13041602,20,96.0,5.41
2621242,6,97.0,0.22
950046,6,90.0,0.16
3342094,14,97.0,0.54
5652147,3,93.0,0.18
14105971,13,100.0,8.67
2875267,148,99.0,5.77
9485607,24,96.0,2.81
7273770,4,90.0,1.11
5405928,10,92.0,0.6
4586681,42,99.0,2.45
1113272,41,94.0,1.25
12647606,8,100.0,1.94
10271867,2,90.0,0.4
7879708,12,100.0,1.08
3881993,8,89.0,0.33
12566065,4,90.0,1.97
6602217,66,90.0,4.25
3276286,39,88.0,1.53
2014651,24,91.0,0.72
6053700,2,100.0,0.13
4405982,18,99.0,0.8
250983,13,98.0,0.24
2308630,32,98.0,1.09
8272350,2,100.0,0.18
12368012,0,94.0,
4098410,20,81.0,0.84
6322283,18,96.0,1.16
7823025,57,92.0,4.68
9549850,48,95.0,6.15
7845607,9,78.0,0.74
14071446,2,100.0,1.25
14218904,1,94.0,0.91
11826815,5,96.0,0.86
13334098,0,94.0,
4765070,139,93.0,6.77
2880944,4,100.0,0.15
9532771,0,94.0,
10253591,21,91.0,3.46
1881298,192,95.0,5.58
210097,115,97.0,1.9
6059968,10,98.0,0.6
6862758,11,100.0,0.75
799701,2,100.0,0.05
6862594,0,94.0,
9057435,6,100.0,0.63
750438,91,96.0,2.29
12874603,10,74.0,3.13
12727401,2,60.0,0.46
2077794,14,86.0,0.47
9712731,2,100.0,1.36
13677640,5,80.0,2.05
3371091,13,95.0,0.5
13512551,1,100.0,1.0
732999,14,97.0,0.3
6106955,8,95.0,0.56
2698996,131,98.0,4.45
27611,8,86.0,0.29
4025194,150,97.0,6.2
8336364,0,94.0,
12071820,5,96.0,1.06
7910223,71,96.0,5.74
4567815,10,96.0,0.49
12022134,1,100.0,0.79
13513012,6,100.0,3.0
3730447,29,89.0,1.14
4149974,70,96.0,3.14
14933380,0,94.0,
6238463,25,98.0,2.12
1929406,1,100.0,0.03
4583526,75,97.0,3.85
7287822,59,99.0,4.55
8354938,20,93.0,1.81
5025015,99,85.0,5.39
4452800,2,80.0,0.11
7554801,6,100.0,0.95
9349646,1,100.0,0.39
6386351,0,94.0,
5124772,3,87.0,0.22
3977877,3,93.0,0.17
1754939,0,94.0,
6602167,23,89.0,5.61
3987926,169,98.0,6.94
5729845,47,90.0,2.78
9727523,15,91.0,1.64
12463555,7,94.0,1.69
9137560,1,100.0,0.1
3616081,127,97.0,5.08
8908145,2,80.0,0.42
554720,108,95.0,2.25
1551467,5,95.0,0.14
7743569,11,98.0,0.88
732932,18,95.0,0.38
749247,62,97.0,1.46
667325,58,92.0,3.59
9349614,1,80.0,0.22
10627514,2,90.0,0.37
1885825,97,96.0,3.27
9906565,0,94.0,
629814,8,100.0,0.21
1222327,2,100.0,0.12
10299047,13,94.0,3.12
9463444,16,100.0,4.14
6465075,20,94.0,1.28
8932377,0,94.0,
9577988,23,97.0,2.48
9971054,9,91.0,1.65
7348110,16,93.0,1.15
7790454,0,94.0,
3021446,107,92.0,3.97
7708436,26,97.0,2.09
11514237,10,98.0,1.92
13363171,1,100.0,0.46
11946029,8,93.0,1.54
6019555,31,97.0,2.04
12052288,32,98.0,6.36
9676551,84,95.0,9.55
12789527,1,100.0,1.0
12855005,7,100.0,1.78
1631942,18,96.0,0.62
2884903,6,94.0,0.21
14868157,0,94.0,
13344433,9,98.0,3.75
40601,55,100.0,0.75
12033661,10,100.0,1.99
6298216,0,94.0,
12868343,0,94.0,
14474750,0,94.0,
6921672,1,100.0,1.0
2219399,49,95.0,1.73
336960,145,92.0,2.62
336946,68,93.0,2.35
6644330,5,100.0,0.39
6939162,12,100.0,0.82
13640138,5,88.0,2.21
12593295,9,91.0,3.29
10004575,9,97.0,1.45
12855343,22,95.0,6.11
9791506,2,90.0,1.3
5801643,31,75.0,1.84
12888054,0,94.0,
5676025,19,79.0,1.11
6104388,7,100.0,0.49
8283433,0,94.0,
14573919,0,94.0,
7495866,26,92.0,1.95
13623390,5,96.0,2.54
3629014,48,100.0,2.13
10883063,15,93.0,2.54
713627,1,80.0,0.04
4105704,104,98.0,4.46
3957602,63,97.0,2.62
11739985,25,96.0,4.57
5874408,41,98.0,2.62
7693009,15,97.0,1.14
3775876,10,86.0,0.4
3693850,184,96.0,7.55
4736217,1,80.0,0.08
14428514,1,60.0,1.0
3021862,12,90.0,2.52
4348422,0,94.0,
973840,42,95.0,1.03
9575439,10,94.0,2.17
4430821,22,94.0,1.05
9591772,1,100.0,0.13
3079305,29,98.0,1.23
14474114,1,100.0,1.0
7789429,5,100.0,0.42
1203014,60,96.0,1.53
957224,57,93.0,1.42
4119345,5,100.0,0.25
5495547,4,100.0,0.26
12081834,7,94.0,1.47
14260905,0,94.0,
3988018,173,97.0,7.09
728238,88,87.0,1.88
12997241,1,80.0,0.34
10074653,1,100.0,1.0
4054079,61,95.0,2.74
12849003,19,98.0,5.09
8067585,13,98.0,1.66
7723492,22,94.0,1.69
1956275,74,88.0,2.3
1136972,280,96.0,7.07
1071235,152,94.0,3.75
4233242,15,97.0,0.64
14415125,0,94.0,
3905508,28,99.0,1.68
1628130,1,100.0,0.64
14566386,0,94.0,
9590679,17,100.0,3.07
14469677,3,100.0,3.0
447826,198,96.0,3.86
12736777,1,100.0,0.48
9459945,5,100.0,0.61
13621476,1,94.0,0.43
2365632,55,94.0,1.8
10163454,0,94.0,
14308511,5,92.0,5.0
13751426,5,96.0,4.41
1692573,92,96.0,2.63
12932001,3,100.0,1.3
5182313,68,96.0,3.75
13865867,5,96.0,5.0
4331214,34,95.0,1.48
12824498,4,90.0,1.03
14602997,0,94.0,
6377998,19,97.0,1.44
743211,49,97.0,1.17
5166870,32,94.0,1.66
3593290,8,100.0,0.35
14672735,0,94.0,
1612842,8,98.0,0.23
332225,41,94.0,0.86
496022,16,99.0,0.44
8720718,80,98.0,7.38
9212213,18,85.0,2.06
8310894,9,98.0,0.79
1167221,97,95.0,3.25
2592416,6,100.0,0.21
1701741,8,88.0,0.23
4526315,28,98.0,1.36
5918944,5,100.0,0.31
5738018,0,94.0,
4181530,18,99.0,0.78
6065674,12,95.0,0.75
13698137,19,93.0,12.13
12209652,0,94.0,
5049582,8,100.0,0.48
12209339,0,94.0,
8981656,23,95.0,2.18
13110347,33,97.0,10.88
9833460,3,93.0,0.98
8801250,4,90.0,0.48
11553697,3,80.0,0.52
13110084,14,94.0,3.93
14682931,1,100.0,1.0
6425318,8,95.0,0.52
2378421,63,99.0,2.17
2443944,0,94.0,
14683493,1,100.0,1.0
12949270,3,100.0,0.78
12781774,7,94.0,1.93
8226982,4,100.0,0.69
5212321,1,100.0,0.13
4339392,7,100.0,0.32
12191871,7,100.0,3.56
12190053,0,94.0,
6764572,53,95.0,3.53
8521792,29,95.0,2.49
4065322,23,93.0,0.99
12209147,0,94.0,
14501824,0,94.0,
12274601,1,100.0,0.26
4457943,44,100.0,2.02
9865550,1,100.0,0.12
4838985,6,90.0,0.36
197972,230,96.0,3.86
10749312,3,100.0,0.89
1115394,179,96.0,4.73
5702292,13,91.0,1.25
4015972,94,96.0,3.85
